name,quadrant,ring,icon,description
ELK (OpenDistro),Infrastructure,Invest,confident,"<p>ELK is the combination of Elasticsearch, Kibana and Logstash. See <a href="""">Elasticsearch</a> for more information on that but Logstash is a good ingester of data into Elasticsearch. This combination of services makes for a solid logging solution. Additionally, AWS has contributed back to the community with <a href=""https://opendistro.github.io/for-elasticsearch/"">OpenDistro</a> to fill the gaps in authentication and management of the system.</p>
<h3>Pros</h3>
<ul>
<li>Can handle large amounts of log data</li>
<li>Very low cost because there are no license restrictions</li>
<li>Automatic ingestion of any log</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Requires some maintenance and consideration on the indices themselves</li>
<li>Doesn’t have</li>
</ul>
<p><a href=""https://engineering.grab.com/structured-logging"">Structured logs</a> should be used where possible to make the searches as efficient as possible.</p>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Kubernetes,Infrastructure,Invest,lock,"<p>Kubernetes is a container orchestration system. Kubernetes has become the de facto standard in the last few years when it comes to running containers.</p>
<h3>Pros</h3>
<ul>
<li>Provides infinite scaling abilities</li>
<li>Self healing pods when configured with health and readiness probes</li>
<li>Efficiently packs applications onto the nodes to achieve greater application density which leads to lower costs</li>
<li>Extremely active community that is constantly contributing back to the ecosystem</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Initial configuration can be very daunting</li>
<li>Required updates on the regular to not fall behind</li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2022</p>
"
Docker,Infrastructure,Invest,lock,"<p>Docker is a means of packaging an application with all of its dependencies required to run. You can think of a Docker container as a lightweight virtual machine without the overhead of the OS. Typically we prefer smaller containers based on the Alpine images. When you build your applications this way you can have the same deployment patterns with all applications regardless of language.</p>
<h3>Pros</h3>
<ul>
<li>Provides a means to control the running environments easily</li>
<li>The container provides a consistent experience across the board</li>
<li>Containers enable greater application density to use every ounce of server resources efficiently</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Debugging can be more difficult if there is an issue with the container itself</li>
</ul>
<p>Combining these benefits with <a href="""">Kubernetes</a> leads to a great way to manage all applications efficiently.</p>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
AWS Lambda (event processing),Infrastructure,Invest,confident,"<p>AWS Lambda functions are a great way to run snippets of code without worrying about the underlying infrastructure the code would run on. Currently this is most useful as means to cheaply process events from Kinesis, DynamoDb streams, SNS, or SQS. AWS has provided all of the plumbing to handle this efficiently.</p>
<h3>Pros</h3>
<ul>
<li>Very cheap, insanely cheap</li>
<li>Effectively infinite scale</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Not a good fit for IO bound operations</li>
<li>Deployment pipelines for the functions themselves is not ideal. Even when using <a href="""">Terraform</a> you have to resort to zip files.</li>
<li>You must wait for updated frameworks (new versions of Node or .NET core for example) to be available on AWS</li>
</ul>
<p>When decision made:</p>
<p>When decision will be revisited:</p>
"
Fluentd,Infrastructure,Invest,confident,"<p><a href=""https://www.fluentd.org/"">Fluentd</a> is an open source tool that will automatically collect your logs and send them to an archiving source. There are many possibilities with the tool but we have found that running Fluentd as a daemon-set on our <a href="""">Kubernetes</a> cluster and logging things to <code>stdout</code> as the most effective logging solution.</p>
<h3>Pros</h3>
<ul>
<li>Automatic collection of logs from simple sources</li>
<li>Can do some log enrichment and manipulation</li>
<li>Can batch and send logs directly to Elasticsearch</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Configuration is a bit cryptic</li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Github (source),Infrastructure,Invest,lock,"<p><a href=""https://github.com/"">Github</a> is a platform to host all of your git based repositories. By extension <a href=""https://git-scm.com"">git</a> should be used as your distributed version control system.</p>
<h3>Pros</h3>
<ul>
<li>Provides incredible integration and tooling</li>
<li>Well structured pull requests for code reviews</li>
<li>Ability to integrate bots to accomplish tasks</li>
<li>Builtin security scanning</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Occasional outages can affect engineering</li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Clair,Infrastructure,Invest,leaning,"<p><a href=""https://coreos.com/clair/docs/latest/"">Clair</a> is a security scanner for Docker containers. Using Clair you are able to determine if there are known security issues with your container.</p>
<h3>Pros</h3>
<ul>
<li>Integrates well with a private Docker registry</li>
<li>Free</li>
</ul>
<h3>Cons</h3>
<ul>
<li>No UI</li>
<li>Configuration isn’t straightforward</li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Jira,Infrastructure,Invest,lock,"<p><a href=""https://www.atlassian.com/software/jira"">Jira</a> is project management software.</p>
<h3>Pros</h3>
<ul>
<li>Can use multiple workflows to accommodate different agile practices</li>
<li>Not the easiest interface to work with’</li>
<li>Cloud hosted</li>
<li>Good plugin support</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Can feel really clunky at times</li>
<li>Teams can be blocked when there are service interruptions</li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
SonarQube,Infrastructure,Invest,confident,"<p><a href=""https://www.sonarqube.org"">SonarQube</a> is a platform for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities.</p>
<h3>Pros</h3>
<ul>
<li>Easy way to integrate code quality metrics with CI/CD pipeline</li>
<li>Good resource for improving code quality during the writing process from within the IDE</li>
<li>Supports most common languages and IDEs</li>
<li>Allows high level monitoring of code quality across many projects quickly</li>
<li>Detects code smells and evaluates technical debt</li>
<li>Linting tool is free</li>
</ul>
<h3>Cons</h3>
<ul>
<li>The Free Qube version of the product only supports scanning master branch</li>
<li>Cloud based version can be costly</li>
<li>Limited</li>
</ul>
<p>When decision made: 9/29/2020</p>
<p>When decision will be revisited: 9/22/2022</p>
"
Prometheus + Grafana,Observability,Invest,confident,"<p><a href=""https://prometheus.io/"">Prometheus</a> is an open source time series database. Prometheus implements a pull model for metrics rather than a push model. Meaning your applications need to have an endpoint, typically <code>/metrics</code> that Prometheus can scrape metrics from.</p>
<p><a href=""https://grafana.com/"">Grafana</a> is an open source visualization tool that can connect to many different data sources to visualize data. Grafana also can provide alerting.</p>
<p>Because one is the data source and the other the visualization we are combining the two of them here.</p>
<h3>Pros</h3>
<ul>
<li>No cost</li>
<li>Large community support</li>
<li>Very customizable</li>
<li>Many open source libraries to easily add a metrics endpoint to any type of application</li>
<li>Can integrate with Elasticsearch and OpsGenie</li>
<li>Community made dashboards available</li>
</ul>
<h3>Cons</h3>
<ul>
<li>We administer these services ourselves</li>
<li>Lack of cohesion sometimes</li>
</ul>
<p>When decision made: 3/5/2020<br />
When decision will be revisited: 01/01/2022</p>
"
Velero (Heptio Ark),Infrastructure,Invest,confident,"<p><a href=""https://velero.io/"">Velero</a> formerly Heptio Ark is an automated backup solution native for Kubernetes. Velero automatically backs up your k8s configuration and takes snapshots of persistent volumes if necessary.</p>
<h3>Pros</h3>
<ul>
<li>Any container automatically gets backed up</li>
<li>Easy to restore entire cluster if necessary</li>
<li>No licensing cost</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Requires maintenance</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Athena,Infrastructure,Invest,confident,"<p><a href=""https://aws.amazon.com/athena/"">Amazon Athena</a> is an interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL. Athena is serverless, so there is no infrastructure to manage, and you pay only for the queries that you run.</p>
<p>Athena is easy to use. Simply point to your data in Amazon S3, define the schema, and start querying using standard SQL. Most results are delivered within seconds. With Athena, there’s no need for complex ETL jobs to prepare your data for analysis. This makes it easy for anyone with SQL skills to quickly analyze large-scale datasets.</p>
<h3>Pros</h3>
<ul>
<li>Provides an SQL query interface to structured and semi-structed data stored in S3.</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Without an adequate partitioning strategy and utilization of that strategy as part of the queries, costs to execute can be relatively high. As an example, the student data from L&amp;L / Spanish can cost up to $2.50 per query if the entire S3 dataset is read.  The worst case cost is entirely a function of the size of the dataset which suggests that documentation should exist to provide guidance depending on the dataset.</li>
<li>While Athena supports an ANSI SQL compatibility level, this may not be as full featured as SQL variants supported by other relational databases such as Microsoft SQL Server<br />
In some cases, other technologies like Spark could be a prefered means to query the S3 data.  This might be for performance reasons (more control over the node types that execute the query).</li>
<li>Queries can be costly if care is not taken to bound your query</li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
S3,Infrastructure,Invest,confident,"<p>S3 is a distributed file system. It is highly scalable and has many uses. Recommended usages are diverse. One such scenario: it is the recommended WNE technology for data lakes including two types of zones:</p>
<ol>
<li>Raw (such as a copy of operational data stores or as the history of operational events)</li>
<li>Curated/gold (post cleanse and transform)</li>
</ol>
<p>Since S3 is a file system, there are many choices for data format. Structured formats include parquet (recommended) and ORC. Semi-structured formats include JSON (recommend JSON per line), XML, and CSV. Unstructured formats include media files such as audio and video.</p>
<p>Related to above, we see it being used as the source of master data (entities) and as the underlying source of analytical data (with replication to serving databases potentially outside S3).</p>
<h3>Pros</h3>
<ul>
<li>Cost effective storage (keep in mind that there are multiple tiers selected based on data access frequency and latency requirements)</li>
<li>High scale</li>
<li>Reasonable latency</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Without oversight it’s easy to accumulate data that does not have value</li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
Ansible (Configuration Management),Infrastructure,Divest,confident,"<p><a href=""https://www.ansible.com/"">Ansible</a> is a universal language, unraveling the mystery of how work gets done. Turn tough tasks into repeatable playbooks. Roll out enterprise-wide protocols with the push of a button.</p>
<h3>Pros</h3>
<ul>
<li>Simple yaml playbooks</li>
<li>No server agent required</li>
<li>Repeatable configuration across a large set of servers</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Extensive logic can be difficult</li>
<li>No UI</li>
<li>Large learning curve</li>
</ul>
<p>Replaces <a href="""">Chef (All)</a> for on-premise configuration and provisioning. Consider <a href="""">Terraform</a> or <a href="""">AWS Cloud Formation</a> for cloud infrastructure provisioning.</p>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
EKS,Infrastructure,Trial,budding,"<p><a href="""">Kubernetes</a> is the best container orchestration system around. AWS has decided to make it a first class citizen on AWS by offering a managed system. The idea here is to make it easier to maintain your k8s cluster for minimal cost.</p>
<h3>Pros</h3>
<ul>
<li>Easy to set up</li>
<li>Easier to stay up to date with k8s releases through managed nodes</li>
<li>Don’t have to worry about the control plane (master nodes)</li>
<li>More strictly adheres to best security practices</li>
<li>Integrated IAM support (though can be added to home spun clusters)</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Tied to AWS</li>
<li>Less ability to customize</li>
</ul>
<h3>Trial Goal</h3>
<p>The goal of trialing EKS is see if we can become more efficient and stay up to date without manually upgrading the cluster constantly with added security.</p>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
